VOL_MEAN,PET_MEAN,PET_KLASSE,LEITBAHN,BEWERTUNG,SHAPE.AREA,SHAPE.LEN
1654.38,35.39,sehr geringe Qualität,0,hoch,574.54361922,261.864871616112
1917.48,31.67,geringe Qualität,1,sehr hoch,555.73580162,93.3767462574239
1890.94,32.34,geringe Qualität,1,sehr hoch,618.84977054,100.592313499578
1885.4,31.01,geringe Qualität,1,sehr hoch,851.03573238,118.758886847811
1453.01,37.22,sehr geringe Qualität,1,sehr hoch,479.19826006,142.948068501166
1540.82,32,geringe Qualität,1,sehr hoch,1397.14958036,237.052995664208
1467.8,36.69,sehr geringe Qualität,1,sehr hoch,149.85689502,74.0978457188902
1464.58,37.83,sehr geringe Qualität,1,sehr hoch,54.26074564,53.6400240213504
1860.58,33.44,geringe Qualität,0,sehr hoch,1452.94092898,271.777605892179
0,35.92,sehr geringe Qualität,1,sehr hoch,10.6027416,16.3640858997317
1115.63,33.78,geringe Qualität,0,hoch,787.63706384,228.412571849428
1444.78,33.31,geringe Qualität,0,hoch,4548.22181082,598.832077291391
1371.25,38.06,sehr geringe Qualität,0,hoch,25.48428234,21.2728895337289
1402.29,40.38,sehr geringe Qualität,0,hoch,473.67326502,153.380772537534
1489.5,39.81,sehr geringe Qualität,0,hoch,73.0275321,44.9912000247728
1785.88,35.85,sehr geringe Qualität,0,hoch,54.6383149,33.2031143810719
1465.94,41,sehr geringe Qualität,0,hoch,84.65621106,55.9475075947355
1474.89,33.77,geringe Qualität,0,hoch,198.08405406,69.7175923624485
1669.89,33.47,geringe Qualität,0,hoch,241.29752014,74.538767420156
1680.33,30.3,geringe Qualität,0,hoch,578.2591488,162.82608776401
1685.25,32.53,geringe Qualität,0,hoch,12.68870148,19.2599468289939
1575.09,38.4,sehr geringe Qualität,0,hoch,179.62163048,135.804296257325
1694,32.85,geringe Qualität,0,hoch,2814.46378872,231.085631401635
1937.6,30.22,geringe Qualität,0,hoch,1134.30052188,135.799236536452
1380.95,28.85,mässige Qualität,0,sehr hoch,4941.06486718,335.094220716083
2014.89,28.52,mässige Qualität,0,sehr hoch,1570.64772422,161.951056650706
1550.95,30.77,geringe Qualität,0,sehr hoch,2071.93366802,180.446724592268
1202.25,34,geringe Qualität,0,sehr hoch,31.5746055,42.6728535859354
1563.69,30.22,geringe Qualität,0,sehr hoch,2212.38399822,188.841459670299
1680.47,28.07,mässige Qualität,0,sehr hoch,2154.2671145,183.287408588403
1551.71,27.81,mässige Qualität,0,sehr hoch,2663.33224982,206.406818091773
1556.94,29.47,geringe Qualität,0,sehr hoch,2480.5274599,513.074736667878
1237,38.89,sehr geringe Qualität,0,hoch,561.33253788,217.630367242518
1431.25,31.74,geringe Qualität,0,sehr hoch,2256.6695594,196.077946251922
1475.57,31.18,geringe Qualität,0,sehr hoch,3780.4417621,277.942459120213
1905.5,30.93,geringe Qualität,0,sehr hoch,46.3260336,26.3263772710022
1535.22,33.05,geringe Qualität,0,hoch,1125.85395388,292.027330955621
1814,34.85,geringe Qualität,0,sehr hoch,94.39569714,45.397017326523
1778.42,32.29,geringe Qualität,0,sehr hoch,145.54336572,100.849893485376
1605.39,26.49,mässige Qualität,0,hoch,965.49848738,160.260198965305
1542.63,29.67,geringe Qualität,0,hoch,2750.37866104,210.886357895969
1168.5,36.11,sehr geringe Qualität,0,sehr hoch,21.19611872,20.3683787468381
906.11,36.97,sehr geringe Qualität,0,sehr hoch,948.1326872,194.419408232247
1486.21,28.77,mässige Qualität,0,hoch,2857.81149672,215.211273968971
1095.6,28.19,mässige Qualität,0,sehr hoch,851.63252008,176.259880430127
1113.88,35,sehr geringe Qualität,0,sehr hoch,348.18753746,129.655961964187
956.6,35.56,sehr geringe Qualität,0,sehr hoch,8622.66372546,364.171095962566
1100.79,31.89,geringe Qualität,0,sehr hoch,6294.596347,319.902494811755
1060.93,31.4,geringe Qualität,0,sehr hoch,642.25001586,160.3583813511
1035.34,37.57,sehr geringe Qualität,0,sehr hoch,640.8084792,204.103052936861
1202.39,34.29,geringe Qualität,0,sehr hoch,145.78828714,120.339622063565
1212.14,36.14,sehr geringe Qualität,0,sehr hoch,1438.82572562,504.661486413359
1295.02,25.98,mässige Qualität,0,sehr hoch,5211.82706128,341.576369267011
787,37.53,sehr geringe Qualität,0,sehr hoch,94.21247396,90.1758366421287
1109.69,35.33,sehr geringe Qualität,0,sehr hoch,277.96946106,103.788150010945
683.5,40.26,sehr geringe Qualität,0,sehr hoch,112.37016744,42.5600078106995
1162.25,35.51,sehr geringe Qualität,0,sehr hoch,29.97292058,43.1718051415817
0,36.88,sehr geringe Qualität,0,sehr hoch,25.24431294,69.8272874615784
518,41.34,sehr geringe Qualität,0,sehr hoch,195.7592989,65.9447678976422
1147.98,32.7,geringe Qualität,0,sehr hoch,243.23061682,64.1560214170871
