ROTATION,VOL_GR_1,E,N
208.93659,3,2685252.931,1245337.713
178.27474,2,2685353.559,1248474.993
229.32506,2,2685537.108,1245528.523
239.92253,3,2685760.506,1247002.217
279.36317,2,2685655.007,1247775.229
223.55159,2,2685582.233,1248205.115
94.04087,1,2685582.737,1248987.088
173.85009,2,2685596.763,1252262.365
230.2647,2,2686008.464,1247209.469
230.61055,2,2686018.714,1247147.732
276.27156,2,2685900.066,1248030.849
41.10814,3,2686073.889,1249177.585
29.67361,3,2685993.933,1250225.615
260.57892,3,2686398.596,1246401.105
308.91449,2,2686245.738,1247918.199
324.71556,2,2686373.353,1248031.883
329.68558,2,2686660.535,1248220.389
336.18197,2,2686711.078,1248176.208
14.12685,3,2686462.033,1248996.939
16.54014,3,2686663.425,1249069.627
25.89278,4,2686677.946,1249996.153
231.41917,3,2686878.251,1245556.832
229.03168,3,2686813.27,1246501.02
348.22375,2,2686873.417,1247459.853
341.23972,2,2686815.726,1247649.282
23.727,4,2686918.32,1250222.694
332.57131,3,2686892.026,1251350.783
346.2538,1,2687165.357,1247407.579
272.84521,3,2687452.741,1245353.597
257.48766,3,2687830.506,1245314.98
179.60649,1,2687991.591,1246800.979
128.99635,1,2687777.235,1247126.177
206.28534,2,2688771.263,1245561.106
151.82141,1,2688954.447,1245762.241
21.59336,1,2688853.935,1246101.443
36.61922,2,2688768.102,1246600.251
41.36706,2,2688869.126,1246782.746
27.47873,2,2689169.422,1246169.676
229.27676,1,2689368.334,1245452.667
261.57303,1,2689399.223,1245507.344
44.27412,3,2677793.675,1248322.403
185.95,3,2677983.436,1251730.765
184.98602,2,2678046.125,1251898.758
191.2925,2,2677987.36,1252302.608
214.74636,2,2678191.533,1252382.451
233.88064,1,2678349.193,1252265.421
128.94809,1,2678618.999,1252409.007
15.77231,3,2678804.252,1246573.392
354.4832,3,2678899.715,1246500.781
111.00241,2,2678898.125,1250544.302
25.50808,3,2679197.415,1246679.682
141.81471,2,2679170.525,1250534.181
205.77618,2,2679318.028,1251600.785
345.5857,1,2679224.281,1252481.513
8.21002,2,2679317.355,1252528.771
12.08017,2,2679318.686,1253463.529
25.38731,2,2679549.437,1252613.419
3.18766,2,2679646.421,1252870.859
33.55696,2,2679594.574,1253656.824
20.94404,2,2679484.838,1253795.285
35.33847,2,2680001.591,1252389.083
42.47439,3,2680158.65,1246165.791
110.77224,1,2680184.666,1251520.365
62.22843,1,2680217.222,1251934.061
235.61973,2,2680090.149,1254034.076
96.68439,2,2680649.701,1242262.054
54.56871,3,2680605.727,1245495.197
114.79536,2,2680860.274,1242904.293
70.13453,3,2680717.707,1244937.128
64.96189,3,2680847.395,1246162.715
271.3292,1,2680903.981,1251136.326
131.18222,2,2680902.717,1253397.499
71.39188,4,2681306.808,1244151.61
89.5103,2,2681127.893,1248166.952
197.45007,2,2681139.113,1250628.625
132.20583,2,2681145.566,1253814.548
67.31851,4,2681452.049,1244437.885
44.14486,2,2681595.231,1252655.189
33.61736,1,2681585.556,1252814.52
6.82753,1,2681516.384,1253056.262
70.82886,3,2681900.003,1244245.613
143.78381,1,2681774.716,1250739.744
110.25124,3,2682027.188,1242299.688
114.93956,1,2681988.918,1250728.712
127.20012,2,2682222.851,1252593.377
78.90317,3,2682356.121,1242431.162
38.53665,2,2682299.002,1246275.936
115.53883,2,2682520.848,1252548.969
156.65754,1,2682550.513,1253678.98
79.68924,1,2682789.638,1252824.964
96.39638,2,2683235.497,1253311.021
121.07896,1,2683624.073,1253208.245
249.48438,2,2684055.563,1245459.77
67.56155,1,2684050.756,1252865.641
306.14742,2,2684409.701,1249715.418
230.05014,2,2684522.818,1248976.121
344.07059,2,2684728.801,1249729.515
347.24683,2,2684629.442,1250660.61
332.63481,1,2685078.725,1249137.901
33.08552,3,2685141.927,1250374.719
12.75442,2,2684886.586,1250895.519
266.57799,3,2685194.689,1245639.791
42.97535,2,2685295.11,1249799.788
30.49109,3,2685486.372,1250596.812
229.00214,3,2685817.011,1245019.236
218.49263,3,2685806.423,1246528.189
311.51582,2,2685907.496,1248311.189
26.05504,2,2685978.712,1248647.499
25.91921,3,2685957.594,1250411.907
243.00801,2,2686152.2,1247436.457
317.7138,2,2686199.488,1248157.352
327.04641,2,2686295.955,1248191.295
1.57449,2,2686162.343,1248477.311
18.21906,2,2686193.187,1248918.723
29.4308,3,2686232.105,1250084.773
24.38879,3,2686252.801,1250207.688
326.38823,1,2686735.604,1247338.821
348.76673,2,2686741.609,1248528.513
0.63863,2,2686678.805,1248819.224
31.54807,3,2686511.46,1250232.707
263.16779,4,2686937.293,1245406.27
245.2946,3,2687020.962,1245446.837
241.30262,1,2686926.953,1247202.722
350.40145,2,2686879.042,1248012.098
340.76103,2,2686814.007,1248380.881
333.91329,2,2687097.742,1247569.684
