PET_KLASSE,NACHTBELAS,PET_MITTEL,T2M_MITTEL,SHAPE.AREA,SHAPE.LEN
starke Belastung,nicht vorhanden,36.27,17.39,37.38441318,34.5341215856765
sehr starke Belastung,schwach,39.09,17.92,600.12633724,410.576699959439
sehr starke Belastung,schwach,37.65,17.79,3974.0808436,1277.6745697612
sehr starke Belastung,nicht vorhanden,38.65,17.46,27.19347936,29.7403492295097
sehr starke Belastung,maessig,39.96,18.15,62.56762914,140.21556951524
starke Belastung,nicht vorhanden,35.46,17.12,191.47427412,68.6675144933508
starke Belastung,nicht vorhanden,35.64,17.41,64.40837464,35.7201800315326
starke Belastung,schwach,36.67,17.57,709.71866272,232.705245565665
sehr starke Belastung,schwach,38.27,17.58,82.00145454,41.2940644964095
sehr starke Belastung,schwach,39.42,17.7,105.41204456,77.9985059875023
sehr starke Belastung,maessig,37.88,18.03,135.14528094,130.745732246891
sehr starke Belastung,nicht vorhanden,38.19,17.44,531.00489784,145.234136822347
sehr starke Belastung,schwach,38.94,17.75,2397.95594258,647.14554742964
sehr starke Belastung,nicht vorhanden,37.28,17.38,775.79970998,626.686739966189
maessige Belastung,nicht vorhanden,34.94,16.05,1337.1553271,150.151805518322
starke Belastung,nicht vorhanden,35.29,16.81,74.66914812,49.0577314775638
maessige Belastung,nicht vorhanden,34.6,16.51,45.67480642,27.0999504148309
maessige Belastung,nicht vorhanden,34.82,16.85,9832.94008456,648.187705087072
starke Belastung,nicht vorhanden,36.2,15.68,1422.6736636,395.282140182945
sehr starke Belastung,schwach,38.07,17.69,126.5846465,67.5847859222309
sehr starke Belastung,schwach,38.05,17.57,355.6921926,96.6387085290265
maessige Belastung,nicht vorhanden,31.13,16.16,86.90742368,66.384152574923
schwache Belastung,nicht vorhanden,25.16,17.2,34.97557418,37.1470637703675
maessige Belastung,nicht vorhanden,33.49,15.45,129.31392778,79.2091737674692
maessige Belastung,nicht vorhanden,33.47,15.1,81.60764802,54.246071281055
keine Belastung,nicht vorhanden,17.98,15.71,3350.05070582,971.141871779632
keine Belastung,nicht vorhanden,17.32,16,2306.67628058,852.96074317512
schwache Belastung,nicht vorhanden,26.1,15.77,1528.16699218,270.706625651438
keine Belastung,maessig,20.84,18.2,1630.67757436,506.679968544551
keine Belastung,maessig,21.17,18.11,148.76306696,61.440304808494
maessige Belastung,maessig,32.77,18.36,2778.42857104,442.660970035812
schwache Belastung,schwach,26.14,17.99,28.96714054,21.5683704183352
maessige Belastung,maessig,32.56,18.09,241.03013766,139.51288692754
maessige Belastung,maessig,30.3,18.7,97.74810902,65.6637805255557
schwache Belastung,maessig,27.17,18.38,4131.38982556,353.544895082741
keine Belastung,maessig,22.23,18.33,102.60582172,195.272699087371
maessige Belastung,maessig,33.09,18.13,153.0081171,88.0587455465267
maessige Belastung,schwach,31.98,17.99,38.17785102,42.5424491278517
maessige Belastung,maessig,32.86,18.47,35.77495852,26.8475810911666
maessige Belastung,maessig,32.29,18.93,39.08000624,25.850742097581
maessige Belastung,maessig,31.5,18.35,7762.96251488,546.374079942479
maessige Belastung,hoch,32.25,19.02,84.08029314,63.1861600650617
maessige Belastung,maessig,33.68,18.51,33.0685852,23.8321033303784
maessige Belastung,maessig,32.64,18.8,421.52966512,131.846355895139
starke Belastung,hoch,35.93,19.05,247.93272048,116.480809428627
maessige Belastung,maessig,32.96,18.58,1562.27174214,272.075328644704
maessige Belastung,maessig,32.44,18.6,7800.2213071,754.146469906253
maessige Belastung,maessig,30.59,18.36,92.9443709,70.3270371284877
maessige Belastung,maessig,32.73,18.59,25.81391242,72.5696713931968
maessige Belastung,maessig,34.26,18.46,5341.26425126,605.345855932289
maessige Belastung,maessig,29.02,18.48,41.749675,38.336713070306
maessige Belastung,maessig,34.25,18.31,1853.0485824,238.698006384978
maessige Belastung,maessig,34.29,18.74,207.81875364,130.247935795208
maessige Belastung,maessig,34.91,18.24,3108.54982668,265.575163733888
maessige Belastung,maessig,32.54,18.83,4139.97247136,844.62536433124
starke Belastung,maessig,35.04,18.04,304.07393864,576.353489555209
starke Belastung,maessig,36.44,18.64,6937.05481314,5208.310479781
