ID,SHAPE.AREA,SHAPE.LEN
108080,425.6438317,102.051303078355
119496,1330.62074224,253.356364664293
3368,148.0535095,105.717987090643
68239,1013.2024004,134.010018130827
67852,394.29415732,89.2090836934771
65325,254.07396332,70.9452530536161
68539,745.66526542,112.363986862979
68527,87.67164858,45.5555940975654
68529,2420.094751,227.815067153779
68649,35.29406764,47.9580937141501
64966,824.27426012,120.598273342916
64961,1059.76808694,145.069341640415
66625,6571.99975632,547.0676093551
66905,232.1443684,74.6706215191175
66606,248.1881,64.8820485650676
64901,144.43728212,49.334940807717
66961,307.16999384,71.6677298447959
66756,3150.07053762,671.9936844432
67371,0.51862344,6.83819095122528
64862,6777.9393852,911.248429340771
64920,1912.54129114,314.423502902452
93582,5193.011671,490.917218955242
118345,195.1395703,59.1556435631916
93055,185.47779238,57.7711149366368
93056,358.4242268,100.099440955335
110835,7.827588,11.3141348866544
106998,107.416166,41.6458719956028
110791,7.896156,11.3633683194819
99644,1536.7937506,287.336902004547
110767,486.21776032,292.54643653295
115485,3525.3519364,691.212659518124
110765,163.25326592,123.121130360458
111799,1211.55075954,218.351454277194
115041,575.64373514,180.997380878714
94868,1387.7234761,190.471138407837
94860,1014.30562188,144.614014631355
94849,69.1530826,43.9467799706074
94847,50.3016915,29.6855036878758
94853,94.67646772,47.7887590117368
94846,1057.41606084,363.732727651382
114434,4019.27684732,576.584255415615
119505,21.33924152,30.8161540658647
119507,470.65146762,147.434379998759
95129,3373.38372094,463.413284591531
115030,1996.6560642,289.849071479147
117767,44.23398996,30.734357590517
100657,209.1680345,59.7911215444109
68495,667.02037794,140.147252264654
68496,105.246423,45.3260535001867
66788,8332.95999548,520.615865403273
65360,11223.49785762,940.180913568942
68480,238.1273658,75.6221209842086
68472,531.536603,108.323651861827
68839,1264.35754058,251.180507079193
68836,1521.40757084,170.444936058595
65141,3347.92905224,376.916481216489
64988,79.0984399,56.2474930490239
66538,433.43244542,93.3886017242725
66675,3337.28420552,425.051864643912
64698,2148.34350198,237.917478803912
64687,6439.22657044,845.309515220103
65831,1338.62853638,210.550561655897
65818,2285.62237584,488.864535235517
93583,271.5967618,71.0556419712476
68690,344.3557346,82.7889847852483
108513,3.27893594,7.79457575254328
111210,2.3820187,7.41643862635285
93586,704.5616594,128.202556672583
110042,3362.99003772,278.552757921124
117742,23.79730648,23.9038521291584
117740,142.8391791,49.7219475153208
110862,9.050065,13.6246109323123
112002,261.0132676,69.0483955222606
110869,37.488233,30.4042495888876
111835,14.8274142,18.2786940174395
110792,82.2227309,76.0979545932679
110770,1937.37155324,380.723321175994
94885,4223.75350952,473.513055065617
94862,1007.2081344,182.743590855599
114437,1624.79025816,236.80431107795
114433,7274.16173676,795.382938154475
114435,9398.4496835,793.267784832727
115031,3874.61420078,474.891999190864
5207,6233.51394712,324.700556023548
5927,223.836589,72.9389812900576
5911,24190.16437434,2299.85955336883
68847,7.739755,11.2213647248481
68881,605.28291004,133.431411003977
68885,524.09941614,117.358639931359
66892,887.01195774,158.333066319163
68882,47.844228,27.8341240595196
66884,513.32051684,115.891699544363
67574,171.0254656,55.934777731896
68905,428.83972232,90.7621782068372
66676,1309.974323,290.424290428255
64682,3307.0018785,395.91532340191
99422,9210.94600526,1007.59359368523
108215,309.03101002,68.3629529081392
93593,213.05820512,62.7948795832609
93594,29.4208501,22.4087410131926
109589,118.4599487,43.4928055793004
109590,655.8334438,105.401411168346
110043,614.9072511,137.435686448674
95276,260.3493034,79.3019320738537
110790,13.56646858,25.2998594886446
116683,73.83975558,63.4060392905705
94887,129.54130242,49.7039066190135
114476,3565.13710844,473.165094488261
116366,44.29429914,23.6198692983646
114474,55.206653,35.9538682260988
114475,72.62027162,51.4286245894084
114477,87.30633776,39.2895646577857
114470,971.76091846,224.568347105386
93759,3793.6028154,473.197850578021
68116,116.07341012,45.9610231859595
68099,286.59315412,96.3254770383542
68090,638.74984408,103.422694620452
68092,912.47284268,122.081236665094
66155,983.07541026,134.193128450794
68084,208.6160598,71.1005398064291
66439,58.96325298,31.2675635680814
66432,831.00907768,140.455264798852
66416,181.1785845,58.5614346826171
66076,1871.5210957,262.464239021342
66065,2787.34136854,359.530137540031
99473,2002.31058192,249.740195062325
114466,6133.2010442,493.083189006327
118719,183.17737782,55.0868217679208
117308,318.36989702,89.1200326637998
95140,3012.66087248,383.766075266118
116201,342.9720716,112.616639516781
116199,874.2894601,158.507600216163
93766,7322.69586992,759.327629491379
5210,229.13475094,59.5124365145987
5208,3691.02318352,417.287202921176
5200,7554.41023684,974.51148655086
5917,1286.98857674,167.341698520163
4270,3192.43020596,690.667765465057
3438,4508.75645954,337.181928251336
3267,5775.99356342,489.422313858935
3266,5362.79100766,411.440272381904
