ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,19284.54329944,688.62562804638
1,B,,261,1,Zürich,2019,Ueberbaut,25934.595477095,1321.6748815278
1,TR,,261,11,Zürich,2019,Technischer Rest,15926.371534225,1063.25948000669
1,B,,261,1,Zürich,2019,Ueberbaut,16959.241455725,1038.31243404523
1,TR,,261,11,Zürich,2019,Technischer Rest,14637.0179343,718.483816615887
1,B,,261,1,Zürich,2019,Ueberbaut,125.342528705,86.7224740864718
1,TR,,261,11,Zürich,2019,Technischer Rest,36116.30160135,1257.99443728981
1,B,,261,1,Zürich,2019,Ueberbaut,99631.819227995,2201.75389799236
1,B,,261,1,Zürich,2019,Ueberbaut,4751.090129815,294.81665617324
1,B,,261,1,Zürich,2019,Ueberbaut,1658.405016405,260.285633118958
1,B,,261,1,Zürich,2019,Ueberbaut,588.9209772,97.2459417196354
1,B,,261,1,Zürich,2019,Ueberbaut,2022.661375545,231.595581347716
1,B,,261,1,Zürich,2019,Ueberbaut,4544.19651609,280.377026682213
1,B,,261,1,Zürich,2019,Ueberbaut,5087.6423365,282.621438088356
1,B,,261,1,Zürich,2019,Ueberbaut,885.5968115,117.734263925168
1,B,,261,1,Zürich,2019,Ueberbaut,2330.1310574,199.995739583264
1,B,,261,1,Zürich,2019,Ueberbaut,5172.138370265,343.680192598914
1,B,,261,1,Zürich,2019,Ueberbaut,2418.7435117,197.000581694917
1,B,,261,1,Zürich,2019,Ueberbaut,1569.232678295,182.785252773146
1,B,,261,1,Zürich,2019,Ueberbaut,3299.0024749,268.516124029865
1,B,,261,1,Zürich,2019,Ueberbaut,2218.536118675,321.656506653126
1,B,,261,1,Zürich,2019,Ueberbaut,5790.459311425,301.001395790675
1,B,,261,1,Zürich,2019,Ueberbaut,2411.3446965,367.953257578445
1,B,,261,1,Zürich,2019,Ueberbaut,14667.53956693,525.753808152011
1,B,,261,1,Zürich,2019,Ueberbaut,281.58997682,92.1938473706434
1,B,,261,1,Zürich,2019,Ueberbaut,4718.9531021,278.752498882963
1,TR,,261,11,Zürich,2019,Technischer Rest,1835.0777944,211.928691138989
1,B,,261,1,Zürich,2019,Ueberbaut,2861.1484255,232.691486000627
1,TR,,261,11,Zürich,2019,Technischer Rest,14403.272209,560.317430087274
1,B,,261,1,Zürich,2019,Ueberbaut,4731.21215365,316.22866256399
1,B,,261,1,Zürich,2019,Ueberbaut,2408.1690224,217.758758199857
1,B,,261,1,Zürich,2019,Ueberbaut,6088.9053075,325.388826283919
1,B,,261,1,Zürich,2019,Ueberbaut,843.895248875,134.893300940124
1,B,,261,1,Zürich,2019,Ueberbaut,1479.487077,155.586860055606
1,B,,261,1,Zürich,2019,Ueberbaut,15916.092608,945.647186692725
1,B,,261,1,Zürich,2019,Ueberbaut,8466.47610692,367.192930665704
1,B,,261,1,Zürich,2019,Ueberbaut,3586.79746473,254.774194033516
1,TR,,261,11,Zürich,2019,Technischer Rest,1439.61245441,187.362515989018
1,B,,261,1,Zürich,2019,Ueberbaut,4119.50533,264.603332715836
1,B,,261,1,Zürich,2019,Ueberbaut,24488.69992391,650.345252111857
1,B,,261,1,Zürich,2019,Ueberbaut,6675.8892115,325.593051806183
1,B,,261,1,Zürich,2019,Ueberbaut,872.48009775,346.071421041933
1,B,,261,1,Zürich,2019,Ueberbaut,5469.942629,415.595190471316
1,S,,261,2,Zürich,2019,Sofort baureif,6894.654357665,346.039894744093
1,B,,261,1,Zürich,2019,Ueberbaut,5865.9571285,345.157171503007
1,B,,261,1,Zürich,2019,Ueberbaut,677.557700705,254.267143395313
1,B,,261,1,Zürich,2019,Ueberbaut,11109.865933235,439.870478424969
1,B,,261,1,Zürich,2019,Ueberbaut,845.84654992,123.261200840356
1,B,,261,1,Zürich,2019,Ueberbaut,3410.620279545,392.728772295049
1,B,,261,1,Zürich,2019,Ueberbaut,5989.083493465,365.45583772679
1,B,,261,1,Zürich,2019,Ueberbaut,6865.18239248,484.552014182019
1,TR,,261,11,Zürich,2019,Technischer Rest,2706.630623485,211.442699158818
1,B,,261,1,Zürich,2019,Ueberbaut,6550.031167995,344.182592978277
1,TR,,261,11,Zürich,2019,Technischer Rest,4564.222637615,282.950642118115
1,B,,261,1,Zürich,2019,Ueberbaut,643.825075,157.885555211296
1,B,,261,1,Zürich,2019,Ueberbaut,12922.362425,2344.26322542703
1,B,,261,1,Zürich,2019,Ueberbaut,7009.87622395,500.705778547805
1,B,,261,1,Zürich,2019,Ueberbaut,2981.86625723,284.387276812033
1,B,,261,1,Zürich,2019,Ueberbaut,7931.996801755,348.715013280417
1,B,,261,1,Zürich,2019,Ueberbaut,3362.64029121,277.685169547969
1,TR,,261,11,Zürich,2019,Technischer Rest,7563.1141268,408.208359979157
1,B,,261,1,Zürich,2019,Ueberbaut,13340.0323475,462.730476167309
1,B,,261,1,Zürich,2019,Ueberbaut,3347.7667548,244.881620002674
1,B,,261,1,Zürich,2019,Ueberbaut,3645.593914245,504.186494905249
1,B,,261,1,Zürich,2019,Ueberbaut,2085.5745805,187.809611716745
1,B,,261,1,Zürich,2019,Ueberbaut,2383.80504291,202.833750896811
1,B,,261,1,Zürich,2019,Ueberbaut,3344.920356,275.019229003608
1,S,,261,2,Zürich,2019,Sofort baureif,4033.468823175,466.888560310427
1,S,,261,2,Zürich,2019,Sofort baureif,1555.231319335,163.542652661412
1,B,,261,1,Zürich,2019,Ueberbaut,383.145697565,78.0042302081874
1,B,,261,1,Zürich,2019,Ueberbaut,125233.548304565,3872.04866637458
1,B,,261,1,Zürich,2019,Ueberbaut,424.645203355,85.6371764009306
1,B,,261,1,Zürich,2019,Ueberbaut,5790.97479645,337.708131640889
