Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumCars
2019-03-15 13:00:00,2679548,1249517,786.0
2016-05-12 17:00:00,2679554,1249589,1041.0
2017-04-12 11:00:00,2679555,1249574,875.0
2013-05-23 12:00:00,2679559,1249509,750.0
2015-04-21 14:00:00,2679559,1249581,763.0
2017-03-29 10:00:00,2679564,1249600,739.0
2016-06-05 16:00:00,2679564,1249609,628.0
2018-08-27 09:00:00,2679565,1249606,853.0
2020-08-19 21:00:00,2679567,1249597,380.0
2020-09-21 08:00:00,2679568,1249616,1081.0
2020-07-20 18:00:00,2679569,1249562,736.0
2017-05-29 20:00:00,2679570,1246820,217.0
2016-12-16 11:00:00,2679570,1249700,1036.0
2020-06-23 17:00:00,2679571,1249571,980.0
2013-10-13 04:00:00,2679571,1249701,76.0
2019-02-26 17:00:00,2679573,1249609,972.0
2018-08-28 11:00:00,2679574,1249558,727.0
2018-11-30 17:00:00,2679574,1249580,1068.0
2016-11-07 09:00:00,2679575,1249696,996.0
2018-01-30 08:00:00,2679575,1249696,1290.0
2015-10-28 11:00:00,2679576,1249601,807.0
2017-04-04 11:00:00,2679577,1249657,870.0
2020-06-06 10:00:00,2679578,1249695,724.0
2012-03-25 07:00:00,2679579,1249689,120.0
2018-11-29 22:00:00,2679580,1249567,409.0
2016-04-07 10:00:00,2679580,1249572,691.0
2013-12-02 06:00:00,2679581,1249572,643.0
2017-07-12 08:00:00,2679583,1249566,826.0
2016-01-18 01:00:00,2679584,1250414,21.0
2020-06-12 17:00:00,2679587,1249667,973.0
2013-10-09 15:00:00,2679587,1249685,790.0
2018-09-07 10:00:00,2679589,1249679,734.0
2017-01-27 11:00:00,2679590,1249687,1290.0
2018-07-17 10:00:00,2679591,1249702,756.0
2015-10-15 16:00:00,2679592,1246903,462.0
2020-04-28 21:00:00,2679593,1249738,215.0
2013-07-18 19:00:00,2679595,1249692,609.0
2017-08-26 14:00:00,2679596,1249665,795.0
2014-06-26 14:00:00,2679596,1249705,915.0
2017-08-08 10:00:00,2679597,1249670,586.0
2018-04-27 07:00:00,2679597,1250407,1158.0
2016-10-18 11:00:00,2679598,1249720,777.0
2018-08-03 16:00:00,2679599,1249725,1022.0
2017-06-14 06:00:00,2679603,1249687,671.0
2020-10-19 18:00:00,2679604,1249689,963.0
2012-09-26 17:00:00,2679604,1249706,1553.0
2020-09-12 18:00:00,2679605,1249689,717.0
2014-11-17 17:00:00,2679606,1249704,1434.0
2018-02-12 23:00:00,2679606,1249705,144.0
2017-12-01 08:00:00,2679606,1249794,1250.0
2020-08-07 10:00:00,2679606,1249795,727.0
2019-03-31 00:00:00,2679607,1249706,216.0
2020-03-06 08:00:00,2679607,1249792,1165.0
2013-12-13 07:00:00,2679608,1249800,1375.0
2019-10-31 17:00:00,2679609,1246767,620.0
2012-07-30 15:00:00,2679610,1246926,251.0
2020-09-25 16:00:00,2679610,1249709,1212.0
2012-08-02 15:00:00,2679610,1249791,657.0
2018-10-08 23:00:00,2679610,1250490,71.0
2016-01-18 10:00:00,2679611,1249580,586.0
2014-11-25 19:00:00,2679611,1249788,587.0
2019-05-03 09:00:00,2679612,1246765,209.0
2016-02-06 18:00:00,2679613,1249780,687.0
2016-02-06 17:00:00,2679613,1249786,771.0
2020-03-24 17:00:00,2679614,1249787,957.0
2019-05-29 16:00:00,2679614,1249814,953.0
2016-06-27 09:00:00,2679615,1249775,639.0
2015-11-13 17:00:00,2679615,1249779,1126.0
2017-10-27 20:00:00,2679618,1246975,206.0
2016-08-31 07:00:00,2679618,1249697,856.0
2015-10-04 00:00:00,2679618,1249743,229.0
2016-05-14 07:00:00,2679620,1249755,233.0
2017-01-27 16:00:00,2679621,1249570,1588.0
2019-05-26 13:00:00,2679622,1246765,251.0
2013-06-07 07:00:00,2679622,1249771,882.0
2016-08-08 17:00:00,2679622,1249789,1278.0
2017-10-25 15:00:00,2679622,1249796,1123.0
2012-12-11 20:00:00,2679624,1249708,530.0
2012-05-26 16:00:00,2679624,1249782,817.0
2016-08-31 17:00:00,2679624,1249795,1181.0
2015-08-29 11:00:00,2679624,1249817,783.0
2012-01-05 10:00:00,2679625,1249802,593.0
2015-09-29 14:00:00,2679626,1249785,858.0
2018-11-23 16:00:00,2679627,1249570,1461.0
2014-05-12 11:00:00,2679627,1249750,760.0
2020-07-08 08:00:00,2679627,1249782,687.0
2017-11-01 14:00:00,2679627,1249785,953.0
2019-07-11 19:00:00,2679628,1249784,867.0
2016-07-10 16:00:00,2679629,1249752,519.0
2015-10-12 14:00:00,2679630,1249759,768.0
2014-06-26 16:00:00,2679630,1249802,1400.0
2019-12-17 07:00:00,2679630,1249802,879.0
2017-07-03 17:00:00,2679630,1250493,847.0
2013-05-15 18:00:00,2679631,1249756,1198.0
2018-09-19 16:00:00,2679631,1249802,1309.0
2020-11-30 20:00:00,2679631,1249802,460.0
2018-03-05 07:00:00,2679631,1250285,832.0
2013-06-18 13:00:00,2679632,1246972,446.0
2019-12-03 00:00:00,2679634,1246970,30.0
2020-09-24 11:00:00,2679634,1249570,763.0
2017-02-01 08:00:00,2679634,1249757,822.0
2017-07-16 13:00:00,2679635,1249696,454.0
2016-12-21 07:00:00,2679635,1249792,840.0
2012-09-13 06:00:00,2679637,1249761,651.0
2018-10-05 18:00:00,2679637,1249795,1090.0
2019-02-02 13:00:00,2679639,1246963,296.0
2016-08-27 12:00:00,2679640,1249789,862.0
2020-06-01 14:00:00,2679641,1246768,273.0
2015-10-03 12:00:00,2679642,1249771,847.0
2016-12-28 13:00:00,2679643,1249770,765.0
2017-09-25 08:00:00,2679644,1249750,798.0
2012-08-23 21:00:00,2679647,1249752,463.0
2013-01-14 07:00:00,2679648,1250450,1327.0
2016-08-29 11:00:00,2679649,1246963,296.0
2018-06-08 20:00:00,2679653,1246794,217.0
2019-12-18 17:00:00,2679654,1249696,1556.0
2020-06-12 15:00:00,2679654,1249780,1089.0
2019-07-04 16:00:00,2679657,1249695,1495.0
2012-01-29 21:00:00,2679657,1250474,252.0
2015-08-13 08:00:00,2679663,1246781,192.0
2015-10-15 10:00:00,2679664,1246777,187.0
2019-04-02 17:00:00,2679666,1250464,869.0
2014-08-13 17:00:00,2679667,1250468,919.0
2020-11-19 19:00:00,2679668,1250465,345.0
2015-11-09 11:00:00,2679668,1250474,542.0
2015-08-11 08:00:00,2679669,1249615,678.0
2014-02-22 18:00:00,2679671,1250476,530.0
2012-08-09 10:00:00,2679672,1250466,541.0
2016-09-12 00:00:00,2679672,1250479,76.0
2017-01-11 21:00:00,2679673,1250467,215.0
2015-03-17 04:00:00,2679674,1249746,76.0
2014-09-26 16:00:00,2679674,1250197,1288.0
2019-01-25 21:00:00,2679676,1249844,414.0
2015-04-14 17:00:00,2679676,1250465,881.0
2016-08-17 18:00:00,2679677,1250465,650.0
2016-08-27 13:00:00,2679678,1250467,614.0
2016-10-26 13:00:00,2679681,1250462,674.0
2015-07-18 21:00:00,2679683,1250464,285.0
2015-11-11 18:00:00,2679683,1250471,615.0
2017-11-23 13:00:00,2679683,1250472,730.0
2012-07-09 12:00:00,2679684,1250458,584.0
2013-10-31 18:00:00,2679684,1250458,798.0
2015-08-10 15:00:00,2679684,1250464,574.0
2019-06-12 14:00:00,2679684,1250469,653.0
2012-10-27 18:00:00,2679687,1250479,566.0
2018-09-12 12:00:00,2679690,1250466,511.0
2018-12-19 21:00:00,2679691,1250468,228.0
2018-10-12 08:00:00,2679695,1250492,732.0
2013-03-01 06:00:00,2679696,1249685,583.0
2014-06-08 12:00:00,2679698,1249699,489.0
2014-06-20 09:00:00,2679698,1250448,707.0
2017-03-12 13:00:00,2679700,1250310,593.0
2016-07-07 18:00:00,2679704,1250461,673.0
2014-12-21 17:00:00,2679705,1249723,704.0
2013-11-08 08:00:00,2679708,1250186,661.0
2015-03-06 22:00:00,2679708,1250458,257.0
2015-02-14 01:00:00,2679710,1246964,40.0
2015-03-19 16:00:00,2679710,1250458,794.0
2014-04-11 21:00:00,2679714,1246930,177.0
2012-11-12 19:00:00,2679714,1249577,838.0
2019-05-29 17:00:00,2679715,1249704,1489.0
2019-05-08 09:00:00,2679716,1249707,662.0
2013-06-19 07:00:00,2679717,1246816,1134.0
