Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2011-05-05 12:00:00,2681438,1248312,18.0,
2011-12-12 15:00:00,2681439,1248065,12.0,
2020-11-03 14:00:00,2681444,1247628,15.0,
2020-02-14 17:00:00,2681444,1248403,,214.5
2020-02-14 14:00:00,2681447,1247573,19.5,
2011-12-22 14:00:00,2681449,1247903,6.5,
2011-04-07 18:00:00,2681449,1247991,62.5,
2020-01-13 19:00:00,2681449,1248857,,26.5
2011-07-29 08:00:00,2681454,1247350,42.5,
2020-06-30 07:00:00,2681458,1247572,56.0,
2020-02-22 19:00:00,2681459,1247992,13.5,
2011-08-16 09:00:00,2681462,1248398,16.0,
2020-06-17 11:00:00,2681462,1248860,43.5,
2020-03-07 18:00:00,2681464,1248043,16.5,
2020-09-16 17:00:00,2681465,1252062,,101.0
2011-03-18 18:00:00,2681466,1248024,41.5,
2011-01-12 18:00:00,2681469,1247735,24.0,
2011-04-05 20:00:00,2681474,1247734,38.0,
2020-05-09 15:00:00,2681474,1248316,,26.5
2020-11-24 09:00:00,2681476,1248893,80.0,
2020-06-04 18:00:00,2681482,1247888,15.0,
2020-02-04 00:00:00,2681483,1248939,,1.5
2011-05-20 08:00:00,2681484,1247741,65.0,
2020-09-16 13:00:00,2681495,1248910,147.0,
2011-02-11 12:00:00,2681496,1248367,4.0,
2020-02-29 15:00:00,2681498,1247606,30.0,
2020-06-20 14:00:00,2681498,1248911,204.5,
2020-04-08 17:00:00,2681499,1248907,172.5,
2020-05-26 07:00:00,2681500,1248371,,70.5
2011-04-07 22:00:00,2681500,1252050,6.0,
2020-09-10 19:00:00,2681501,1248345,,50.5
2011-05-24 17:00:00,2681502,1248081,72.5,
2020-02-03 14:00:00,2681506,1248933,,21.0
2011-06-30 18:00:00,2681508,1248098,66.0,
2020-07-16 18:00:00,2681509,1248931,267.5,
2020-10-25 18:00:00,2681510,1247590,0.5,
2011-03-31 17:00:00,2681513,1247673,32.0,
2011-01-16 06:00:00,2681513,1248398,0.0,
2011-03-28 22:00:00,2681514,1248369,2.5,
2011-09-21 21:00:00,2681516,1247675,25.5,
2020-11-17 22:00:00,2681516,1248936,28.0,
2020-11-03 16:00:00,2681517,1252020,,13.5
2020-06-22 20:00:00,2681521,1248936,153.0,
2020-04-20 16:00:00,2681522,1248983,115.5,
2020-02-21 19:00:00,2681522,1252050,,92.0
2011-07-21 19:00:00,2681523,1247443,52.0,
2020-02-07 08:00:00,2681525,1247659,42.0,
2020-02-17 16:00:00,2681526,1248964,49.0,
2020-12-05 17:00:00,2681529,1248956,49.0,
2011-12-15 14:00:00,2681529,1252038,3.5,
2020-02-03 07:00:00,2681529,1252040,,48.0
2020-04-07 15:00:00,2681530,1252041,,43.5
2020-06-13 15:00:00,2681532,1247389,58.5,
2020-11-25 10:00:00,2681533,1247451,14.5,
2020-02-06 09:00:00,2681533,1252075,,80.5
2020-06-26 17:00:00,2681537,1247854,47.5,
2020-03-02 18:00:00,2681539,1248954,117.5,
2020-01-15 10:00:00,2681540,1248966,,20.0
2020-08-15 21:00:00,2681542,1248941,84.0,
2020-03-25 06:00:00,2681543,1247745,3.5,
2020-04-06 19:00:00,2681543,1248938,79.5,
2011-01-28 22:00:00,2681543,1252108,3.0,
2020-09-30 16:00:00,2681544,1248978,160.0,
2020-02-24 21:00:00,2681549,1252113,,31.0
2011-03-31 18:00:00,2681549,1252114,9.0,
2020-10-09 16:00:00,2681551,1252114,,48.5
2011-01-06 19:00:00,2681556,1247623,17.5,
2020-08-19 15:00:00,2681558,1247964,23.0,
2020-06-10 22:00:00,2681558,1247979,10.0,
2011-04-28 22:00:00,2681559,1248330,3.0,
2020-05-28 14:00:00,2681561,1247716,39.5,
2020-09-26 19:00:00,2681561,1247984,7.0,
2011-10-30 11:00:00,2681562,1247713,8.0,
2020-01-30 18:00:00,2681564,1247701,36.5,
2011-01-13 09:00:00,2681566,1247706,9.5,
2020-06-03 14:00:00,2681567,1247538,42.5,
2020-09-10 17:00:00,2681569,1247426,43.0,
2011-10-30 15:00:00,2681569,1247672,29.5,
