Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2011-04-09 21:00:00,2682338,1249138,2.0,0.5
2020-02-24 11:00:00,2682341,1248420,5.5,
2020-01-03 18:00:00,2682342,1247008,,142.0
2020-10-30 08:00:00,2682342,1249148,115.0,
2011-12-06 12:00:00,2682344,1247018,12.5,
2011-09-01 07:00:00,2682345,1246982,68.5,
2020-08-04 23:00:00,2682349,1246976,,2.0
2020-08-27 18:00:00,2682353,1248443,54.0,
2020-06-08 23:00:00,2682353,1248472,17.0,
2020-08-29 11:00:00,2682355,1249085,12.0,
2020-10-10 09:00:00,2682356,1248469,15.5,
2020-05-30 12:00:00,2682357,1246987,,14.5
2011-03-14 14:00:00,2682359,1247123,27.5,
2020-06-04 08:00:00,2682359,1249074,6.0,
2020-12-23 11:00:00,2682359,1249101,48.5,
2011-04-24 03:00:00,2682361,1249119,0.0,0.0
2020-09-11 17:00:00,2682363,1247132,,14.0
2020-05-05 10:00:00,2682365,1248557,19.5,
2011-02-28 09:00:00,2682366,1249102,0.5,6.5
2011-10-01 21:00:00,2682369,1247034,12.5,
2020-09-01 16:00:00,2682371,1247036,,18.0
2020-12-11 14:00:00,2682373,1248497,59.5,
2020-07-13 11:00:00,2682380,1248219,,124.0
2020-09-04 17:00:00,2682381,1246867,,15.5
2011-01-01 01:00:00,2682382,1246980,6.0,
2020-06-11 08:00:00,2682388,1248551,128.5,
2020-04-10 20:00:00,2682389,1248526,23.0,
2020-11-13 16:00:00,2682393,1248534,103.0,
2020-06-02 17:00:00,2682393,1248542,197.5,
2020-04-30 11:00:00,2682395,1248197,14.5,
2020-06-02 07:00:00,2682401,1248534,140.5,
2011-09-13 16:00:00,2682407,1247176,71.0,
2020-06-15 03:00:00,2682410,1248197,0.0,
2020-09-10 12:00:00,2682411,1248456,23.0,
2020-07-14 08:00:00,2682411,1248459,183.5,
2020-01-26 05:00:00,2682412,1248574,1.0,
2020-07-28 11:00:00,2682440,1248623,67.5,
2011-12-24 15:00:00,2682441,1247125,9.0,
2020-10-31 12:00:00,2682443,1248626,81.5,
2020-08-05 13:00:00,2682444,1248620,73.5,
2020-09-03 12:00:00,2682444,1248623,88.0,
2020-08-29 17:00:00,2682445,1248520,44.0,
2020-03-11 08:00:00,2682448,1246895,,88.5
2020-08-29 17:00:00,2682449,1248492,44.0,
2020-09-08 20:00:00,2682460,1248602,125.5,
2020-08-11 19:00:00,2682466,1248598,146.0,
2020-08-07 17:00:00,2682467,1248597,151.5,
2020-04-17 15:00:00,2682470,1248424,6.0,
2020-02-17 15:00:00,2682470,1248602,7.0,
2020-10-15 09:00:00,2682474,1248599,80.5,
2020-04-14 07:00:00,2682479,1248601,72.0,
2020-01-26 11:00:00,2682490,1247187,,39.5
2020-09-10 19:00:00,2682494,1247117,,15.0
2020-02-07 08:00:00,2682495,1247044,,99.0
2020-02-07 22:00:00,2682497,1248469,10.5,
